image_name,psnr_300,psnr_330,psnr_380,psnr_400,psnr_420,psnr_500,psnr_600
01619.jpg,25.051989555358887,24.66369867324829,23.284692764282227,23.324508666992188,22.38621711730957,20.041985511779785,17.912827730178833
01995.jpg,25.268473625183105,24.13689136505127,23.724753856658936,23.2250714302063,22.01242685317993,19.22816753387451,15.708670616149902
00045.jpg,24.929568767547607,23.96026372909546,22.761123180389404,22.12937593460083,21.90574884414673,18.79046320915222,16.314921379089355
01581.jpg,23.8364577293396,23.039491176605225,22.238364219665527,21.8251633644104,21.711671352386475,21.156761646270752,18.55744361877441
00963.jpg,24.02095317840576,23.829529285430908,22.397470474243164,22.39065170288086,21.67837619781494,19.57093715667725,15.756124258041382
01456.jpg,23.316261768341064,22.638850212097168,21.818177700042725,21.387171745300293,20.887458324432373,19.05569553375244,15.003150701522827
01053.jpg,23.987491130828857,23.17544221878052,22.63657569885254,22.102606296539307,20.826008319854736,17.687066793441772,16.178654432296753
00523.jpg,22.50782489776612,21.87695264816284,20.90606451034546,20.68758726119995,20.340261459350582,17.784348726272583,15.53890824317932
00416.jpg,22.928216457366943,21.723663806915283,22.120254039764404,21.047918796539307,20.531046390533447,19.35235619544983,16.021188497543335
00766.jpg,23.460421562194824,23.035171031951904,22.406506538391117,22.26245164871216,21.83271884918213,18.83995056152344,15.908935070037842
00866.jpg,23.48928213119507,22.584428787231445,22.213523387908936,20.83037614822388,20.7810115814209,18.38067412376404,13.79218816757202
01526.jpg,22.68315553665161,22.298588752746586,21.998863220214844,21.454949378967285,20.6660270690918,18.98585081100464,15.10900378227234
00910.jpg,22.900586128234863,21.528446674346924,20.741124153137207,20.74287414550781,19.867331981658936,18.312169313430783,14.407297372817991
01823.jpg,22.53343343734741,21.7104172706604,20.53154945373535,20.56398630142212,20.227203369140625,17.966697216033936,15.49223780632019
01206.jpg,24.00361061096192,23.015525341033936,22.88555860519409,21.839935779571533,20.80395221710205,19.31918263435364,15.302832126617432
01074.jpg,22.173562049865723,21.891286373138428,20.490856170654297,20.75070142745972,19.754568338394165,17.75511622428894,14.212231636047363
00645.jpg,22.22074031829834,21.888387203216556,21.270534992218018,20.472912788391117,20.027096271514893,18.655622005462646,15.045944452285768
01593.jpg,21.77752494812012,21.524736881256104,21.083357334136963,20.373706817626957,20.813076496124268,18.71276378631592,15.318834781646729
01531.jpg,21.952145099639893,21.38561487197876,21.20555877685547,20.124428272247314,20.12397766113281,18.688342571258545,15.553377866744995
00740.jpg,23.224799633026123,21.848814487457275,21.797707080841064,21.009621620178223,21.070537567138672,18.64295721054077,17.49497413635254
01202.jpg,22.58648157119751,22.288920879364014,21.067674160003666,21.386678218841556,20.406711101531982,20.141544342041016,15.848938226699827
00934.jpg,22.205047607421875,22.26204395294189,20.66873073577881,20.262224674224854,20.337023735046387,18.415980339050293,16.155771017074585
01116.jpg,22.2226619720459,21.90215349197388,21.248109340667725,20.95242977142334,19.9924111366272,17.935872077941895,14.921458959579468
00618.jpg,22.5896430015564,22.02310085296631,20.753438472747803,20.607240200042725,19.52686905860901,18.18775057792664,14.282304048538208
00366.jpg,23.757569789886475,23.507380485534668,22.453761100769043,22.351090908050537,21.29152536392212,19.39771294593811,17.181280851364136
00259.jpg,23.021130561828613,22.24931001663208,21.87797784805298,21.80470943450928,21.16332769393921,19.988240003585812,16.098754405975342
01988.jpg,23.11873435974121,22.327024936676025,20.443944931030277,21.18536949157715,20.04438877105713,18.49098324775696,13.90681505203247
00220.jpg,22.45239019393921,21.673707962036133,20.856549739837646,20.670616626739506,19.746429920196533,18.22527766227722,14.016367197036743
00498.jpg,22.914128303527832,22.9591965675354,21.56046867370605,22.0099139213562,20.81861019134521,19.72635507583618,17.102993726730347
00341.jpg,22.176313400268555,21.598129272460938,20.807664394378666,20.73083877563477,19.942057132720947,18.725191354751587,14.581118822097778
01991.jpg,23.036975860595703,22.37664222717285,21.149842739105225,21.422693729400635,21.08963251113892,18.024346828460693,15.14871597290039
01016.jpg,22.39819526672364,21.736767292022705,21.47182941436768,20.35292625427246,20.02985000610352,19.570142030715942,14.6315336227417
00507.jpg,21.925625801086422,21.511449813842773,20.41943311691284,20.61388254165649,19.95381236076355,18.34099650382996,15.87002158164978
00363.jpg,23.1748366355896,22.49963998794556,21.34493350982666,20.84491729736328,20.826332569122314,19.552797079086304,16.139559745788574
01954.jpg,22.273542881011963,21.649062633514404,20.404324531555176,20.241706371307373,20.027308464050293,17.192405462265015,15.25331735610962
00775.jpg,21.56627655029297,21.200571060180664,20.25169610977173,19.775145053863525,20.15897512435913,17.9046368598938,14.388712644577026
00120.jpg,22.67770767211914,22.197906970977783,20.942981243133545,20.539546012878414,19.93498921394348,17.43191957473755,14.222967624664308
00659.jpg,22.459135055541992,21.879124641418457,21.34922742843628,20.67078113555908,20.720350742340088,18.408448696136475,14.515365362167358
01201.jpg,22.068192958831787,21.46275997161865,20.42644500732422,20.41754961013794,19.140199422836304,17.4416983127594,14.62073564529419
00682.jpg,21.488254070281982,21.19020700454712,20.169477462768555,19.65733051300049,19.25200343132019,16.78988814353943,13.828747272491457
01689.jpg,22.425873279571533,21.72193050384521,20.87661027908325,20.39624691009521,19.27777647972107,18.995652198791504,16.47633671760559
00869.jpg,23.05305004119873,22.281084060668945,21.028292179107662,20.740821361541748,19.64242458343506,18.601325750350952,14.489116668701172
00323.jpg,21.52945041656494,21.31316900253296,20.16792297363281,19.685922861099243,20.223727226257324,18.147668838500977,15.888822078704834
00318.jpg,23.30337285995484,22.460033893585205,22.24038600921631,21.6794228553772,20.78734397888184,18.82886528968811,15.82562804222107
00560.jpg,23.15557718276977,22.367172241210938,20.516839027404785,20.93634605407715,20.12763500213623,18.667374849319454,14.79755163192749
00597.jpg,22.703416347503666,22.400693893432617,22.003729343414307,21.06346607208252,20.594072341918945,17.99130082130432,13.719154596328735
01364.jpg,22.720656394958496,22.05427885055542,20.948638916015625,20.12910842895508,20.18754005432129,18.39449524879456,14.854823350906372
01185.jpg,22.2531795501709,21.445677280426025,19.79876160621643,20.17191171646118,19.17879819869995,17.90245294570923,14.445682764053345
01710.jpg,21.98371648788452,21.32091999053955,20.07555246353149,19.09848570823669,20.275919437408447,17.442936897277832,14.5148503780365
01347.jpg,21.86578750610352,21.567068099975582,20.936739444732662,20.14693260192871,20.193915367126465,17.806280851364136,15.195040702819824
00962.jpg,21.39237880706787,21.78180932998657,20.66000461578369,20.15265703201294,19.88863706588745,17.978594303131104,13.70785355567932
00038.jpg,22.227654457092285,21.27914667129517,20.262997150421143,19.76068139076233,19.566065073013306,17.650437355041504,14.69333291053772
01335.jpg,23.512442111969,22.80416250228882,22.3219895362854,21.474761962890625,21.15905523300171,18.7583065032959,16.934118270874023
00708.jpg,22.30292558670044,22.037582397460938,20.89216470718384,20.487699508666992,20.298738479614254,16.969692707061768,13.279850482940674
00556.jpg,21.882753372192383,20.932204723358154,19.99359965324402,19.95156764984131,19.817839860916138,17.40426540374756,14.585734605789185
00506.jpg,22.66056060791016,21.73219919204712,21.04529619216919,20.441033840179443,20.45328140258789,18.180474042892456,15.581361055374146
00287.jpg,22.46510982513428,22.19367027282715,21.182425022125244,21.17494106292725,20.812246799468998,19.22537922859192,16.059774160385132
01931.jpg,22.97060489654541,22.130236625671387,21.44371032714844,20.294649600982662,20.288960933685303,17.849537134170532,14.325931072235107
00321.jpg,21.63438081741333,21.447973251342773,19.899269342422485,19.960240125656128,20.146327018737797,18.46901535987854,14.981310367584229
00093.jpg,21.701102256774902,21.55313014984131,20.76321601867676,19.708174467086792,19.90081787109375,18.113067150115967,14.91989016532898
01367.jpg,20.96834659576416,20.64273834228516,19.16354894638061,18.678207397460938,18.24219584465027,16.33421301841736,12.93092966079712
00707.jpg,22.524056434631348,21.79775714874268,21.62281274795532,21.267740726470947,20.897345542907715,19.379408359527588,15.656380653381348
01759.jpg,21.501855850219727,20.40506362915039,19.583557844161987,19.29339289665222,18.666681051254272,15.939491987228394,12.006652355194092
00913.jpg,22.01781749725341,21.46019220352173,20.37185430526733,20.150818824768063,19.32407855987549,18.275974988937374,14.12514328956604
01929.jpg,22.219161987304688,21.98560476303101,20.554463863372803,20.59868574142456,19.97355580329895,18.67516279220581,16.64897322654724
00378.jpg,22.18439817428589,21.59754514694214,20.54088592529297,20.206644535064697,20.076615810394287,18.040281534194943,13.000150918960571
00299.jpg,22.325801849365234,21.96082353591919,21.46701574325561,20.747487545013428,20.682196617126465,17.97529935836792,16.358368396759033
01873.jpg,22.06082820892334,21.278913021087646,21.03501558303833,20.18240451812744,20.056395530700684,17.67695188522339,15.697622299194336
00306.jpg,21.63649559020996,21.44129514694214,19.785845279693604,18.866654634475708,18.319509029388428,17.107657194137573,14.288010597229004
01539.jpg,21.836981773376465,20.35217523574829,20.10204553604126,19.720922708511356,19.725217819213867,17.7048659324646,15.037841796875
00480.jpg,21.5871810913086,20.50343513488769,19.2355215549469,19.105725288391117,19.082099199295044,15.969235897064207,11.812856197357178
01433.jpg,21.915552616119385,21.87826633453369,20.987143516540527,20.198097229003903,20.31991004943848,18.95686507225037,14.71388816833496
00832.jpg,22.83979654312133,22.297863960266117,21.56604290008545,20.81928014755249,20.85479974746704,18.461663722991943,15.40540337562561
01600.jpg,23.229634761810303,23.398420810699463,21.90119981765747,21.515426635742188,21.334729194641117,18.898802995681763,15.30699372291565
01584.jpg,21.26918315887451,20.828347206115723,20.05249261856079,19.819201231002808,19.30497646331787,17.685095071792603,14.071658849716188
00646.jpg,21.66814088821411,21.217503547668457,19.17891025543213,19.46027994155884,19.20955538749695,17.218836545944214,13.588809967041016
00729.jpg,21.014704704284668,20.341854095458984,20.04307985305786,19.664108753204346,19.57846760749817,17.898647785186768,14.562604427337646
01774.jpg,21.45169496536255,20.736043453216556,20.443005561828613,20.190448760986328,20.21471261978149,17.372947931289673,14.747084379196169
00431.jpg,21.643295288085938,21.296558380126957,20.67682981491089,19.376702308654785,19.543793201446533,17.724353075027466,14.87849473953247
00500.jpg,21.75762414932251,21.81297540664673,19.834810495376587,20.27141571044922,19.61052298545837,17.61894702911377,13.852776288986206
01626.jpg,21.57500982284546,21.52697324752808,20.72936773300171,20.36439657211304,19.742236137390137,17.845826148986816,15.328792333602903
01135.jpg,21.22166633605957,20.691468715667725,19.87471103668213,19.011051654815677,19.256601333618164,18.208824396133423,14.367471933364868
01405.jpg,22.03128337860108,21.279056072235107,20.708467960357662,20.124025344848636,19.823384284973145,17.76559829711914,15.78354001045227
00268.jpg,24.02778148651123,22.645463943481445,22.49508619308472,21.81323528289795,21.66444540023804,20.427138805389404,17.854613065719604
01768.jpg,21.66922807693481,21.139028072357178,19.90679621696472,19.670919179916385,19.3238627910614,17.218496799468994,14.48570728302002
01720.jpg,21.144652366638184,20.749387741088867,20.21538496017456,19.804706573486328,18.888922929763797,16.68414831161499,14.515628814697266
01680.jpg,21.157326698303223,20.79270601272583,20.299649238586422,20.02969980239868,19.65185284614563,17.451552152633667,15.45501947402954
01419.jpg,22.165992259979248,22.013676166534424,20.91111660003662,20.69115400314331,21.180541515350345,18.126529455184937,16.100761890411377
00092.jpg,21.561484336853027,20.981523990631104,19.748090505599976,19.759411811828613,19.50079083442688,17.700244188308716,15.71440815925598
01846.jpg,21.6342830657959,20.75242757797241,19.589879512786865,18.991854190826416,18.6480450630188,16.56152606010437,13.577733039855955
01564.jpg,22.70406484603882,21.88485622406006,21.29382610321045,20.97393751144409,20.79782247543335,17.745720148086548,14.35346245765686
01267.jpg,21.386983394622803,20.958247184753414,19.884847402572632,19.52044367790222,19.130743741989136,16.496113538742065,13.092827796936035
00077.jpg,21.947286128997803,22.43992805480957,21.11212491989136,20.554699897766117,20.021677017211918,18.005917072296143,14.33218240737915
01989.jpg,21.359856128692627,20.93118906021118,20.073046684265137,19.54341173171997,19.29933190345764,16.121784448623657,14.402358531951904
00376.jpg,22.101078033447266,21.81638240814209,20.21296501159668,19.9905264377594,19.4026517868042,17.50874161720276,15.33488631248474
01115.jpg,21.62951946258545,20.755834579467773,19.29654002189636,18.6214280128479,18.85834097862244,16.561174392700195,14.43676233291626
01688.jpg,21.303632259368896,21.452293395996094,20.36614179611206,19.919391870498657,19.434518814086918,17.49495506286621,15.179556608200071
01019.jpg,21.385040283203125,21.09882116317749,19.631986618041992,19.3272864818573,19.05489563941956,16.54542326927185,14.203141927719116
01414.jpg,22.09463834762573,21.19374990463257,20.48088788986206,19.804141521453857,19.370259046554565,17.506529092788696,15.699981451034546
01346.jpg,23.885834217071533,22.724497318267822,21.672067642211918,21.958250999450684,21.759748458862305,19.58276391029358,16.13944172859192
