image_name,psnr_400,psnr_500,psnr_600
01619.jpg,23.324508666992188,20.041985511779785,17.912827730178833
01995.jpg,23.2250714302063,19.22816753387451,15.708670616149902
00045.jpg,22.12937593460083,18.79046320915222,16.314921379089355
01581.jpg,21.8251633644104,21.156761646270752,18.55744361877441
00963.jpg,22.39065170288086,19.57093715667725,15.756124258041382
01456.jpg,21.387171745300293,19.05569553375244,15.003150701522827
01053.jpg,22.102606296539307,17.687066793441772,16.178654432296753
00523.jpg,20.68758726119995,17.784348726272583,15.53890824317932
00416.jpg,21.047918796539307,19.35235619544983,16.021188497543335
00766.jpg,22.26245164871216,18.83995056152344,15.908935070037842
00866.jpg,20.83037614822388,18.38067412376404,13.79218816757202
01526.jpg,21.454949378967285,18.98585081100464,15.10900378227234
00910.jpg,20.74287414550781,18.312169313430783,14.407297372817991
01823.jpg,20.56398630142212,17.966697216033936,15.49223780632019
01206.jpg,21.839935779571533,19.31918263435364,15.302832126617432
01074.jpg,20.75070142745972,17.75511622428894,14.212231636047363
00645.jpg,20.472912788391117,18.655622005462646,15.045944452285768
01593.jpg,20.373706817626957,18.71276378631592,15.318834781646729
01531.jpg,20.124428272247314,18.688342571258545,15.553377866744995
00740.jpg,21.009621620178223,18.64295721054077,17.49497413635254
01202.jpg,21.386678218841556,20.141544342041016,15.848938226699827
00934.jpg,20.262224674224854,18.415980339050293,16.155771017074585
01116.jpg,20.95242977142334,17.935872077941895,14.921458959579468
00618.jpg,20.607240200042725,18.18775057792664,14.282304048538208
00366.jpg,22.351090908050537,19.39771294593811,17.181280851364136
00259.jpg,21.80470943450928,19.988240003585812,16.098754405975342
01988.jpg,21.18536949157715,18.49098324775696,13.90681505203247
00220.jpg,20.670616626739506,18.22527766227722,14.016367197036743
00498.jpg,22.0099139213562,19.72635507583618,17.102993726730347
00341.jpg,20.73083877563477,18.725191354751587,14.581118822097778
01991.jpg,21.422693729400635,18.024346828460693,15.14871597290039
01016.jpg,20.35292625427246,19.570142030715942,14.6315336227417
00507.jpg,20.61388254165649,18.34099650382996,15.87002158164978
00363.jpg,20.84491729736328,19.552797079086304,16.139559745788574
01954.jpg,20.241706371307373,17.192405462265015,15.25331735610962
00775.jpg,19.775145053863525,17.9046368598938,14.388712644577026
00120.jpg,20.539546012878414,17.43191957473755,14.222967624664308
00659.jpg,20.67078113555908,18.408448696136475,14.515365362167358
01201.jpg,20.41754961013794,17.4416983127594,14.62073564529419
00682.jpg,19.65733051300049,16.78988814353943,13.828747272491457
01689.jpg,20.39624691009521,18.995652198791504,16.47633671760559
00869.jpg,20.740821361541748,18.601325750350952,14.489116668701172
00323.jpg,19.685922861099243,18.147668838500977,15.888822078704834
00318.jpg,21.6794228553772,18.82886528968811,15.82562804222107
00560.jpg,20.93634605407715,18.667374849319454,14.79755163192749
00597.jpg,21.06346607208252,17.99130082130432,13.719154596328735
01364.jpg,20.12910842895508,18.39449524879456,14.854823350906372
01185.jpg,20.17191171646118,17.90245294570923,14.445682764053345
01710.jpg,19.09848570823669,17.442936897277832,14.5148503780365
01347.jpg,20.14693260192871,17.806280851364136,15.195040702819824
00962.jpg,20.15265703201294,17.978594303131104,13.70785355567932
00038.jpg,19.76068139076233,17.650437355041504,14.69333291053772
01335.jpg,21.474761962890625,18.7583065032959,16.934118270874023
00708.jpg,20.487699508666992,16.969692707061768,13.279850482940674
00556.jpg,19.95156764984131,17.40426540374756,14.585734605789185
00506.jpg,20.441033840179443,18.180474042892456,15.581361055374146
00287.jpg,21.17494106292725,19.22537922859192,16.059774160385132
01931.jpg,20.294649600982662,17.849537134170532,14.325931072235107
00321.jpg,19.960240125656128,18.46901535987854,14.981310367584229
00093.jpg,19.708174467086792,18.113067150115967,14.91989016532898
01367.jpg,18.678207397460938,16.33421301841736,12.93092966079712
00707.jpg,21.267740726470947,19.379408359527588,15.656380653381348
01759.jpg,19.29339289665222,15.939491987228394,12.006652355194092
00913.jpg,20.150818824768063,18.275974988937374,14.12514328956604
01929.jpg,20.59868574142456,18.67516279220581,16.64897322654724
00378.jpg,20.206644535064697,18.040281534194943,13.000150918960571
00299.jpg,20.747487545013428,17.97529935836792,16.358368396759033
01873.jpg,20.18240451812744,17.67695188522339,15.697622299194336
00306.jpg,18.866654634475708,17.107657194137573,14.288010597229004
01539.jpg,19.720922708511356,17.7048659324646,15.037841796875
00480.jpg,19.105725288391117,15.969235897064207,11.812856197357178
01433.jpg,20.198097229003903,18.95686507225037,14.71388816833496
00832.jpg,20.81928014755249,18.461663722991943,15.40540337562561
01600.jpg,21.515426635742188,18.898802995681763,15.30699372291565
01584.jpg,19.819201231002808,17.685095071792603,14.071658849716188
00646.jpg,19.46027994155884,17.218836545944214,13.588809967041016
00729.jpg,19.664108753204346,17.898647785186768,14.562604427337646
01774.jpg,20.190448760986328,17.372947931289673,14.747084379196169
00431.jpg,19.376702308654785,17.724353075027466,14.87849473953247
00500.jpg,20.27141571044922,17.61894702911377,13.852776288986206
01626.jpg,20.36439657211304,17.845826148986816,15.328792333602903
01135.jpg,19.011051654815677,18.208824396133423,14.367471933364868
01405.jpg,20.124025344848636,17.76559829711914,15.78354001045227
00268.jpg,21.81323528289795,20.427138805389404,17.854613065719604
01768.jpg,19.670919179916385,17.218496799468994,14.48570728302002
01720.jpg,19.804706573486328,16.68414831161499,14.515628814697266
01680.jpg,20.02969980239868,17.451552152633667,15.45501947402954
01419.jpg,20.69115400314331,18.126529455184937,16.100761890411377
00092.jpg,19.759411811828613,17.700244188308716,15.71440815925598
01846.jpg,18.991854190826416,16.56152606010437,13.577733039855955
01564.jpg,20.97393751144409,17.745720148086548,14.35346245765686
01267.jpg,19.52044367790222,16.496113538742065,13.092827796936035
00077.jpg,20.554699897766117,18.005917072296143,14.33218240737915
01989.jpg,19.54341173171997,16.121784448623657,14.402358531951904
00376.jpg,19.9905264377594,17.50874161720276,15.33488631248474
01115.jpg,18.6214280128479,16.561174392700195,14.43676233291626
01688.jpg,19.919391870498657,17.49495506286621,15.179556608200071
01019.jpg,19.3272864818573,16.54542326927185,14.203141927719116
01414.jpg,19.804141521453857,17.506529092788696,15.699981451034546
01346.jpg,21.958250999450684,19.58276391029358,16.13944172859192
