image_name,closest_phash_image,phash_distance,closest_clip_image,clip_cosine_similarity
00518.jpg,03692.jpg,12,23422.jpg,0.7908334389131821
01060.jpg,16890.jpg,16,16578.jpg,0.9120274911240845
00589.jpg,06938.jpg,12,22893.jpg,0.9003503007675923
00140.jpg,22808.jpg,14,23632.jpg,0.8436145351032535
00229.jpg,20710.jpg,12,25370.jpg,0.8386200864049373
01307.jpg,01365.jpg,14,23111.jpg,0.9083339405114077
01510.jpg,04154.jpg,14,24545.jpg,0.8349066358492939
00967.jpg,07866.jpg,12,21702.jpg,0.9162271317861446
00854.jpg,12126.jpg,8,13862.jpg,0.7920203213900519
00345.jpg,13545.jpg,16,17766.jpg,0.8408146326522181
01308.jpg,19607.jpg,10,26867.jpg,0.8752072295024089
01889.jpg,03060.jpg,12,13040.jpg,0.846127618162586
00351.jpg,27929.jpg,10,20681.jpg,0.8557316083925821
00126.jpg,26475.jpg,12,20182.jpg,0.8773442410039067
00408.jpg,15569.jpg,12,11563.jpg,0.8288790754945566
00608.jpg,26100.jpg,12,28306.jpg,0.7966572054605797
01150.jpg,15765.jpg,12,28222.jpg,0.8175390663132591
01382.jpg,13764.jpg,14,26812.jpg,0.811111264371249
00996.jpg,16622.jpg,12,06616.jpg,0.9445735590508018
01744.jpg,01132.jpg,12,10954.jpg,0.8825935022027349
00762.jpg,14306.jpg,14,20280.jpg,0.8677985980726577
01027.jpg,26275.jpg,16,23348.jpg,0.824777306624293
01934.jpg,08950.jpg,14,17037.jpg,0.779319636790957
01789.jpg,25718.jpg,14,12282.jpg,0.860475036897988
00234.jpg,23141.jpg,16,22693.jpg,0.8365551697082001
01779.jpg,19853.jpg,14,18634.jpg,0.8576858743316477
00856.jpg,00333.jpg,18,03257.jpg,0.8594988764054843
01073.jpg,10122.jpg,12,09693.jpg,0.8508966941149496
01538.jpg,01303.jpg,10,02457.jpg,0.9200705104412118
00519.jpg,24852.jpg,14,24159.jpg,0.822593332464542
00461.jpg,07381.jpg,12,20876.jpg,0.8463612839176003
01936.jpg,07788.jpg,12,04114.jpg,0.8715107003723368
00193.jpg,19759.jpg,8,11800.jpg,0.8670318373942275
00342.jpg,28700.jpg,8,20110.jpg,0.816036669222722
01822.jpg,18451.jpg,18,20558.jpg,0.7625718857689292
01371.jpg,27215.jpg,12,24031.jpg,0.8463936024478006
01286.jpg,18522.jpg,14,12686.jpg,0.9067350009795012
01861.jpg,21847.jpg,10,19338.jpg,0.871453508979791
01722.jpg,09601.jpg,12,17220.jpg,0.9491833550633129
01484.jpg,03876.jpg,8,20972.jpg,0.8981375600370619
00449.jpg,09858.jpg,12,05403.jpg,0.8712121759206582
00937.jpg,23874.jpg,14,11438.jpg,0.8350276720724863
01803.jpg,19512.jpg,14,13767.jpg,0.9316381088103087
00598.jpg,17265.jpg,14,16251.jpg,0.7555152609555158
01845.jpg,23227.jpg,14,08371.jpg,0.8200420435262388
00553.jpg,11513.jpg,12,09411.jpg,0.8365961660006751
01018.jpg,18454.jpg,16,16495.jpg,0.8756437566131636
01685.jpg,19753.jpg,18,10814.jpg,0.7824062076548547
01320.jpg,05584.jpg,10,18900.jpg,0.8808821921189298
01921.jpg,14215.jpg,12,21461.jpg,0.8651310247161192
00333.jpg,20658.jpg,16,01553.jpg,0.7560308508828241
00839.jpg,01398.jpg,10,10921.jpg,0.8975100930428992
00003.jpg,28670.jpg,14,05776.jpg,0.8304052152565647
00327.jpg,03237.jpg,12,02926.jpg,0.8773457308524268
00190.jpg,11549.jpg,12,25483.jpg,0.8746631117163308
00109.jpg,19554.jpg,14,14854.jpg,0.9221192760398482
00164.jpg,14587.jpg,16,28888.jpg,0.8652247309890402
01578.jpg,00048.jpg,10,05183.jpg,0.8954448276187194
00595.jpg,01452.jpg,10,27313.jpg,0.9267007530513264
01890.jpg,08580.jpg,10,04241.jpg,0.8627378599109868
01796.jpg,28299.jpg,10,25722.jpg,0.8969940005385608
01939.jpg,21905.jpg,14,28526.jpg,0.900193094753284
01394.jpg,14739.jpg,16,13013.jpg,0.7637503196367215
00583.jpg,06604.jpg,14,28634.jpg,0.8423127956426635
00541.jpg,06528.jpg,16,18222.jpg,0.8163982510032669
00758.jpg,03552.jpg,8,12749.jpg,0.7470634200018138
00566.jpg,17643.jpg,10,05629.jpg,0.8341430206629031
00960.jpg,16002.jpg,12,07233.jpg,0.7643422932756672
01092.jpg,21148.jpg,12,17801.jpg,0.8492836160873043
00015.jpg,04368.jpg,8,26163.jpg,0.835853295838945
01088.jpg,04973.jpg,10,00553.jpg,0.7799712080158177
00068.jpg,12737.jpg,12,07201.jpg,0.8928668959822574
00087.jpg,07792.jpg,16,13562.jpg,0.8245069586434448
01252.jpg,00412.jpg,14,00780.jpg,0.7909211317530496
01420.jpg,19821.jpg,14,04241.jpg,0.8816552097218306
01809.jpg,26438.jpg,16,22821.jpg,0.8605047262848599
00011.jpg,04313.jpg,12,17205.jpg,0.8246606137726546
01164.jpg,11217.jpg,14,13009.jpg,0.7864344848496427
01229.jpg,22126.jpg,14,28156.jpg,0.8519142433254112
00559.jpg,18769.jpg,10,26460.jpg,0.8216321588268289
01437.jpg,05489.jpg,12,11962.jpg,0.8608721186978571
01769.jpg,07884.jpg,10,02379.jpg,0.8831280363471377
00454.jpg,19264.jpg,14,13428.jpg,0.8126999355320341
00805.jpg,18551.jpg,12,26097.jpg,0.9220686928437649
00348.jpg,26371.jpg,12,02479.jpg,0.8233417990479062
00452.jpg,11819.jpg,12,19630.jpg,0.8480104822270284
01866.jpg,26839.jpg,10,12213.jpg,0.9298740903237497
01083.jpg,11431.jpg,12,17308.jpg,0.8431718339646517
00467.jpg,22937.jpg,12,14227.jpg,0.9157682238719373
00977.jpg,08340.jpg,10,24798.jpg,0.8719801580302686
01806.jpg,23025.jpg,12,23228.jpg,0.8891256405306169
00664.jpg,01297.jpg,12,17773.jpg,0.8413238409505639
00640.jpg,03998.jpg,14,21542.jpg,0.8446436340887596
00534.jpg,26135.jpg,12,19038.jpg,0.9536211588686798
00908.jpg,27486.jpg,8,15092.jpg,0.8886286450780096
00238.jpg,06346.jpg,10,24911.jpg,0.857907079635609
00334.jpg,00649.jpg,12,06646.jpg,0.8174134513098941
00388.jpg,14122.jpg,12,17607.jpg,0.9366509624073787
00834.jpg,04356.jpg,14,04786.jpg,0.8186980931416796
01069.jpg,03552.jpg,14,25118.jpg,0.7787390000221088
